preco,endereco,detalhe_localizacao,caracteristicas,descricao
R$ 780.000,"Rua Luiz Leporaci, 1255","Santo Agostinho, Franca","232 m² tot.
3 quartos
3 ban.
4 vagas","Remaxparimob#5liv3 - Incrível investimento! Localização e condições imperdíveis. - A casa que você tanto procura está aqui! ! Você que procura por conforto, privacidade e um ambiente perfeito para receber amigos e familiares, esta é a casa dos seus sonhos! Localizada no Sto Agostinho, um bairro tranquilo e valorizado, esta residência oferece tudo o que você precisa para viver com qualidade de vida. E o melhor: Proprietário estuda permuta de apartamento de menor valor! Características Principais: Piscina Privativa: Ideal para relaxar nos dias ensolarados e criar momentos inesquecíveis com sua família. Área de Churrasco: Equipada com churrasqueira e espaço para refeições ao ar livre, perfeita para confraternizações. Área de Serviço: Com espaço amplo e funcional para suas atividades diárias. Despensa: Armazenamento extra para mantimentos e utensílios de cozinha. Quartos com Closets: Cada quarto é uma suíte completa, com closet espaçoso para organização impecável. Banheiros: Modernos e bem distribuídos pela casa, oferecendo conforto e praticidade. Outras Comodidades: Sala de estar arejada e iluminada, perfeita para relaxar. Cozinha planejada com armários embutidos e bancadas de alta qualidade. Garagem coberta para dois carros. Jardim bem cuidado, proporcionando um ambiente agradável e acolhedor. Localização Privilegiada: A apenas alguns minutos de escolas, supermercados, restaurantes e com fácil acesso às principais vias da cidade, garantindo praticidade no dia a dia. Investimento Imperdível: Não perca a oportunidade de adquirir esta casa que combina conforto, elegância e funcionalidade em um só lugar. Agende uma visita hoje mesmo e venha conhecer pessoalmente tudo o que este imóvel exclusivo tem a oferecer! Não deixe essa chance escapar! Esta é a casa perfeita para você e sua família viverem momentos inesquecíveis. Agende sua visita!"
R$ 1.951.750,"Rua Chafica Hanoche Aoude, 2248","Franca, São Paulo","285 m² tot.
3 quartos
4 ban.
4 vagas","Remaxparimob#wk3ja - Perfeito para morar bem! Ambientes amplos e bem distribuídos. - O Residencial Village Santa Giorgina é um dos condomínios mais sofisticado atraentes da região de Franca, conta com sistema de segurança completo horas, área de lazer com quadra poliesportiva, duas quadras de beach tênis, academia, salão de festas, pista de caminhada, playground, pergolados, banheiros na área comum, um deck maravilhoso com vista para o por do sol, ampla área verde. Ideal para conviver em família com tranquilidade, para crianças brincarem e se divertirem em segurança. Um condomínio muito organizado com comemorações e eventos festivos que encantam e unem todas as família, onde todos brincam e ficam a vontade!! Localização privilegiada, pois o condomínio está próximo dos melhores supermercados, faculdade, colégios, postos de gasolina, farmácias, e acesso fácil para Rodovia Ronan Rocha. Se você busca segurança, conforto, requinte, modernidade e tranquilidade, temos o imóvel de alto padrão que você procura, acabamento refinado, esquadrias em alumínio, três suítes, com closet, sendo todas elas com sacada, ampla sala em conceito aberto, uma suíte ( podendo se tornar um home, um belo escritório ou uma brinquedoteca), escada toda iluminada em lead, cozinha completa, área gourmet com churrasqueira, lavabo, lavandeira e quatro vagas de garagem. Uma casa com uma excelente iluminação natural incrível. Porcelanato de primeira linha, revestimentos moderno e de qualidade, luminárias e armários de excelente padrão de qualidade. Uma casa pronta para você morar!!"
R$ 950.000,"Rua Floriano Peixoto, 2188","Centro, Franca","127 m² tot.
3 quartos
3 ban.
3 vagas","Remaxparimob#kvzvf - Uma joia do mercado imobiliário! Não deixe essa oportunidade passar. - Apartamento novo localizado na região central de Franca, ao lado da avenida Major Nicácio uma das principais avenidas da cidade. Prédio imponente o Condomínio Villa Franca, com uma arquitetura impar, hall de entrada com pé direito alto, com um design de interior pensado em sintonia com o projeto arquitetônico do empreendimento, Conceito condomínio clube, uma área de lazer completa, com piscina, sauna, espaço gourmet, meia quadra poliesportiva, espaço kids, home theater, ambientes para um convívio social. O apartamento com m de área útil, Sala ampla para ambientes com revestimento porcelanato, lavabo, cozinha americana com clara, área quente com suítes todas com ponto de ar condicionado, aquecedor de água gás, e uma vista maravilhosa da cidade com face sol da manhã. Este projeto da construtora renomada da cidade de Franca Copenhagem Construtora tem um característica de um acabamento premium interno do prédio, trazendo um requinte e um cuidado nos detalhes que fazem a diferença para o conforto do dia a dia na moradia. Uma apartamento com m de área útil uma área que atende muito bem proporcionando o conforto que a planta pensada deste apartamento pode proporcionar. A localização é um dos pontos forte deste empreendimento por estar em uma área nobre da região central da cidade, e com um entorno que facilita o dia a dia com lojas de serviço, mercado, posto de gasolina a metros, varejão, cartório, e restaurantes. , entre outros. Agende uma visita neste surpreendente projeto um dos ícones da cidade de Franca com assinatura da projeto arquitetônico e da construção. ""Com o propósito de inovar no ramo da construção civil e incorporação e vislumbrando a oportunidade de oferecer um produto com elevado padrão de qualidade, a Copenhagen Construtora e Incorporadora se apresenta no cenário contemporâneo aliando mais de anos de experiência no ramo ao vigor do empreendedorismo seguro e sustentável. "" (Copenhagen Construtora - site)"
R$ 12.001.750,"Avenida Adhemar Pereira de Barros, 700","Jardim Riviera, Franca",20000 m² tot.,"Remaxparimob#jdbrb - Excelente oportunidade! Não perca a chance de conhecer esse imóvel. - Conheça uma oportunidade imperdível para investimento em um terreno comercial à venda em Franca, São Paulo, localizado na privilegiada Avenida Adhemar Pereira de Barros, no bairro Jardim Palma. Este terreno de. m e frente de metros é ideal para quem busca expansão de negócios ou para quem deseja iniciar um empreendimento de sucesso em uma área de grande visibilidade e fluxo constante de pessoas. Este terreno comercial está localizado em uma região estratégica na Região Sudeste do Brasil, oferecendo excelente potencial de desenvolvimento, seja para supermercados, lojas, e escritórios de serviços, ou qualquer outro tipo de estabelecimento comercial. Com o status de nova construção, o terreno se apresenta como um espaço desocupado e pronto para transformar suas ideias em realidade. A área ao redor é bem desenvolvida, com facilidade de acesso a serviços essenciais, tornando este local ainda mais atraente para investidores visionários. Não perca a chance de garantir um espaço de destaque em uma avenida movimentada, onde seu negócio pode prosperar e se beneficiar do constante crescimento econômico da região. Aproveite esta rara oportunidade de adquirir um terreno em uma localização tão desejada, com potencial verdadeiramente ilimitado para atender às suas necessidades comerciais e de investimento. Entre em contato agora mesmo para mais informações e para agendar uma visita!"
R$ 208.490,"RUA BOA VISTA,N. 3098 CASA","Boa Vista, Franca","80 m² tot.
1 banheiro",Formas de pagamento aceitas. Recursos próprios. Permite utilização de fgts Consulte condições e enquadramento. regras para pagamento das despesas caso existam. Condomínio Sob responsabilidade do comprador até o limite de 10 em relação ao valor de avaliação do imóvel A caixa realizará o pagamento apenas do valor que exceder o limite de 10 do valor de avaliação. Tributos Sob responsabilidade do comprador. Importante. Escolha a Via House Imóveis creci Ver dadosJ como sua Imobiliária Credenciada Caixa e tenha a garantia de um atendimento especializado seguro e completo na compra de imóveis de Leilão Caixa Ao nos indicar você conta com suporte exclusivo em todas as etapas desde a escolha até a posse do imóvel garantindo um investimento seguro e sem surpresas. Por que escolher a Via House. Assessoria especializada e personalizada em leilões Caixa. Imóveis com até 70 de desconto. Aprovação do seu crédito habitacional sem complicação. aprovamos seu crédito habitacional. Deixe com a gente Facilitamos a aprovação do seu crédito com segurança e agilidade. Explore agora as melhores oportunidades de leilão em São Paulo. Casas apartamentos e imóveis comerciais com diversas opções para atender às suas necessidades. Fale conosco e aproveite as melhores ofertas. wwwviahouseleiloescombr. Ver dados WhatsApp disponível
R$ 2.500.000,"Alameda das Tanzanitas, 631","Franca, São Paulo","281 m² tot.
4 quartos
6 ban.
4 vagas","Remaxparimob#9gmww - Perfeito para morar bem! Ambientes amplos e bem distribuídos. - O Residencial é um dos condomínios mais atraentes da região de Franca, conta com sistema de segurança completo horas, área de lazer com quadra poliesportiva, duas quadras de beach tênis, academia, salão de festas, pista de caminhada, playground, pergolados, mercadinho, banheiros na área comum, um deck maravilhoso com vista para o por do sol, ampla área verde l. Ideal para conviver em família com tranquilidade, para crianças brincarem em segurança. Um condomínio, organizado com comemorações festivas que encantam e unem todas as familias, as crianças brincam a vontade!! Localização privilegiada, pois o condomínio está próximo dos melhores supermercados, colégios, postos de gasolina, farmácias, e acesso fácil para Rodovia Ronan Rocha. Se você busca segurança, conforto, tranquilidade temos o imóvel de alto padrão, acabamento refinado, esquadrias em alumínio, três suítes, sendo uma com closet amplo, sendo uma delas com sacada, ampla sala em conceito aberto, uma suíte na parte térrea, ( pode se tornar um home, um belo escritório ou uma brinquedoteca) escada iluminada, cozinha completa em armários, área gourmet com churrasqueira e armários, lavabo, lavandeira e quatro vagas de garagem. Aquecimento solar. Uma casa com uma iluminação natural incrível. Porcelanato de primeira linha, revestimentos, luminárias e armários de excelente qualidade. Uma casa pronta para morar!!"
R$ 3.000.000,Rodovia João Traficante,"Jardim Palestina, Franca","3000 m² tot.
5 quartos
7 ban.
10 vagas","Residência de Alto Padrão em Terreno de 3. 000 m² Uma propriedade exclusiva que une sofisticação, conforto e lazer completo. Casa Principal 310 m² com móveis planejados. Suíte Presidencial banheiro Sr. Sra. , chuveiros e pias individuais. Mais 3 Suítes 2 Suítes para visitantes, todas com sacada integrada. Acabamentos premium Mármore Marfil e Calacatta. Cozinha moderna integrada lavanderia principal e de apoio. Home Cinema de 35 m² Garagem coberta para 4 carros pátio pavimentado 150 m² Área externa e lazer. Piscina de 50. 000 L 8, 5 x 4, 5 m. Área de lazer independente com 230 m² Quadra de Beach Tênis. Pomar formado. Floreira de 30 metros. Terreno todo gramado e murado 4 m de altura. Rua interna pavimentada 100 m x 4 m. Portão amplo de acesso. Infraestrutura completa. Poço artesiano cisterna. Projeto pluvial executado em todo o terreno. Total acessibilidade para pessoas com mobilidade reduzida. Perfeito para quem busca exclusividade, conforto e lazer em um só lugar"
R$ 470.000,Endereço não informado,"Franca, São Paulo","200 m² tot.
2 quartos
2 ban.
2 vagas","2 Dormitórios sendo 1 Suíte. Sala de Tv e Jantar Integrados. Cozinha c/ Pé Direito Alto. Banheiro Social. Lavanderia Coberta. Vaga para 2 Carros. Jardinagem Pronta. Acabamento Fino. Excelente Localização. rr andrade Imóveis &#xae; Os Melhores Imóveis estão Aqui. . br. R. Dr. Júlio Cardoso, 1336 Centro, Franca sp. As informações estão sujeitas a alterações. Consulte o corretor responsável. Chave do anúncio: dxojDicI1ouglwd7"
R$ 330.000,Endereço não informado,"Jardim Vera Cruz III, Franca","140 m² tot.
2 quartos
1 banheiro
3 vagas","Jardim Vera Cruz - Casa com 02 dormitórios, sala de tv, copa, cozinha, banheiro, lavanderia, garagem coberta para 03 carros. 140, 00 m² Privativos, 200, 00 m² de area externa."
R$ 340.000,Endereço não informado,"Jardim Três Colinas, Franca","69 m² tot.
2 quartos
2 ban.
1 vaga","Lindo apartamento no bairro Três Colinas! &#xD; &#xD; Excelente localização;&#xD; 2 dormitórios, sendo 1 suíte;&#xD; Dormitório de solteiro com guarda-roupas modulado;&#xD; Banheiros com armários e box nos chuveiros;&#xD; Sala com painel de tv;&#xD; Cozinha completa de armários;&#xD; Ilha com cooktop, coifa e forno;&#xD; Sacada com churrasqueira;&#xD; Lavanderia com armários; - 31/08/2025"
R$ 2.350.000,Franca 800,"Núcleo Agrícola Alpha, Franca","336 m² tot.
4 quartos
5 ban.
4 vagas","Casa de condomínio à venda, no Villa Toscana. O imóvel tem 4 quartos, sendo 4 suítes, possui 5 banheiros, 2 salas e 4 vagas de garagem. Área total de 336m² e 256m² de área útil. Não perca sua chance de conhecer este imóvel incrível em uma das melhores regiões de. Possui todo o conforto e segurança que você e sua família precisam! Valor do imóvel: R$ 2. 350. 000, 00"
R$ 600.000,Endereço não informado,"Franca, São Paulo","140 m² tot.
3 quartos
1 banheiro
2 vagas","Vende-se residência nova, loteamento Quinta D´Oeste, Sala e cozinha pé direito alto, com sanca e iluminação decorativa, 3 dormitórios amplos, sendo 1 suíte com closet, Lavanderia coberta, Piscina com hidro e cascata, Garagem para 2 carros grandes. 200 mts de terreno, 140 mts de construção. Agende já sua visita. Entre em contato conosco: (16) Ver dados ou (16) Ver dados."
R$ 430.000,Endereço não informado,"Jardim Tropical, Franca","200 m² tot.
3 quartos
3 ban.
2 vagas","Oportunidade! Estuda trocas &#xD; (casa, apartamento, chácara, automóvel) ! &#xD; &#xD; Excelente casa na parte alta do bairro Jardim Tropical I&#xD; - 3 quartos sendo uma suíte, &#xD; - total de 3 banheiros&#xD; - 2 vagas garagem coberta (com area privativa) &#xD; - sala grande com espaço para segundo ambiente &#xD; - copa (mesa de jantar) &#xD; - cozinha com armarios planejados &#xD; - área de serviço completa (coberta) &#xD; - lavado na parte externa&#xD; - Área de churrasco completa nos fundos da casa! &#xD; - Sistema de segurança&#xD; - Armários: Quartos. Cozinha, banheiro, área gourmet. &#xD; - corredores lateral&#xD; - portao com motor&#xD; - casa recém reformada&#xD; &#xD; Estuda trocas, casa e apartamento, pega carro! &#xD; &#xD; imovel documentado aceita financiamento! &#xD; &#xD; Entre em contato conosco, tire suas duvidas, e agende uma visita! ! - 31/08/2025"
R$ 450.000,Endereço não informado,"Prolongamento Vila Duque de Caxias, Franca","207 m² tot.
3 quartos
1 banheiro
4 vagas","3 Dormitórios. Sala de tv e Estar. Cozinha com Armários. Banheiros Social. Comodo nos Fundos. Lavanderia Coberta. Vaga para 4 Carros. Excelente Localização. Próximo a Escola Pestalozzi. rr andrade Imóveis &#xae; Os Melhores Imóveis estão Aqui. br. R. Dr. Júlio Cardoso, 1336 Centro, Franca sp. As informações estão sujeitas a alterações. Consulte o corretor responsável. Chave do anúncio: 9j809K4oxLgWlcy9"
R$ 830.000,Rua Rio Trombetas 1453,"Residencial Amazonas, Franca","261 m² tot.
4 quartos
4 ban.
2 vagas","173m² de construção. 17m² de área descoberta. 04 dormitórios sendo 02 suítes com sacada, 01 com closet. 02 sacadas amplas, 01 gourmet com churrasqueira. Jacuzzi. 02 vagas de garagem. Rica em armários. Sala de estar e jantar. Condomínio: Portaria eletrônica, academia, salão de festas e playgroud"
